,Unnamed: 0,Name,Cusines,Dining_style,Phone number,Website,Location,Payment Options,website_status
122,175,"
Arabesque Restaurant London
",Mediterranean,Casual Dining,+44 20 7041 9793,http://arabesquerestaurant.co.uk/,"
23 Winchester Rd, London, NW3 3NR
","Diners Club, Discover, Mastercard, Visa",False
153,218,"
Chislehurst Curry & Grill
",Indian,Casual Dining,+44 20 8467 9390,http://chislehurstcurry-grill.co.uk/,"
53 Chislehurst Road Chislehurst, London, BR7 5NP
","Mastercard, Visa",False
172,246,"
Canela Cafe
",Portuguese,Casual Dining,+44 20 7240 6926,http://www.canelacafe.com/,"
33 Earlham Street, London, WC2H 9LS
","AMEX, Mastercard, Visa",False
187,266,"
Tapas 44
",Spanish,Casual Dining,+44 20 7637 9388,http://www.tapas44.co.uk/,"
3 Windmill Street Fitzrovia, London, W1T 2HY
","AMEX, Mastercard, Visa",False
189,268,"
Deli Boutique
",French,Casual Dining,+44 20 7223 9863,http://www.deliboutique.co.uk/,"
157 St. John's Hill, London, SW11 1TQ
","Mastercard, Visa",False
194,277,"
Karri Twist
",Indian,Casual Dining,+44 20 8691 5169,http://www.karritwist.co.uk/,"
338 New Cross Road, London, SE14 6AG
","Mastercard, Visa",False
248,351,"
Locanda del Melo
",Italian,Casual Dining,+44 20 7403 7513,http://finefoodse1.co.uk/,"
218 Long Lane, London, SE1 4QB
","AMEX, Mastercard, Visa",False
260,367,"
Ajanta Restaurant
",Indian,Casual Dining,+44 20 8743 5191,http://www.ajanta.london/,"
10-12 Goldhawk Road, London, W12 8DH
","AMEX, Mastercard, Visa",False
261,368,"
Patri
",Indian,Casual Dining,+44 20 8743 5191,http://www.ajanta.london/,"
103 Hammersmith Grove, London, W6 0NQ
","AMEX, Mastercard, Visa",False
266,373,"
Nabrasa Express
",Brazilian Steakhouse,Casual Dining,+44 20 7377 1223,http://www.nabrasaexpress.com/,"
30 Osborn Street, London, E1 6TD
","Mastercard, Visa",False
268,376,"
Temakinho - Tower Bridge
","Sushi, Brazilian, Fusion / Eclectic",Casual Dining,+44 20 4580 1187,https://www.temakinho.co.uk/tower-bridge/,"
1 Tower Bridge, London, SE1 2SG
","AMEX, Mastercard, Visa",False
273,381,"
129HRD
",Modern European,Casual Dining,+44 20 3638 7322,http://www.129hrd.co.uk/,"
129 Holloway road, London, N7 8lt
","Mastercard, Visa",False
274,384,"
Kishmish Restaurant
","Persian, Mediterranean",Casual Dining,+44 20 8670 6969,http://kishmishrestaurant.co.uk/,"
Lower Ground Floor 13-14 Crystal Palace Parade, London, SE19 1UA
","AMEX, Diners Club, Mastercard, Visa",False
300,420,"
The Hideaway Bar
","Burgers, Pizzeria",Casual Dining,+44 20 7561 0779,http://www.thehideawaybar.co.uk/,"
114 Junction Road, London, N19 5LB
","AMEX, Mastercard, Visa",False
304,424,"
The Oh Boy
",Thaï,Casual Dining,+44 20 8947 9760,http://www.ohboythai.co.uk/,"
843 Garratt Lane, London, SW17 0PG
","AMEX, Mastercard, Visa",False
305,425,"
Silver Lining
","Global, International",Casual Dining,+44 20 8510 1782,http://silverlininge9.com/,"
13 Morning Lane, London, E9 6ND
","AMEX, Mastercard, Visa",False
322,450,"
Chit Chaat Chai
","Indian, Halal",Casual Dining,+44 20 8480 2364,http://www.chitchaatchai.com/,"
356 Old York Road, London, SW18 1SS
","AMEX, Mastercard, Visa",False
323,452,"
HERE - Crouch End
","Contemporary British, Fusion / Eclectic, Tapas / Small Plates",Casual Dining,+44 20 8347 7546,http://www.herecrouchend.co.uk/,"
1 Park Road, London, N8 8TE
","AMEX, Mastercard, Visa",False
338,469,"
MAM
",Vietnamese,Casual Dining,+44 20 7792 2665,http://www.mamlondon.com/,"
16 All Saints Road, London, W11 1HH
","Mastercard, Visa",False
