,Name,Cusines,Dining_style,Phone number,Website,Location,Payment Options
32,"
Ham Yard Bar and Restaurant
","Modern European, British",Casual Dining,+44 20 3642 1007,http://www.hamyardhotel.com/,"
One Ham Yard, London, W1D 7DT
","AMEX, Carte Blanche, Diners Club, Discover, JCB, Mastercard, Visa"
33,"
Alex Dilling at Hotel Café Royal
","French, Contemporary European, Modern European",Casual Dining,+44 20 7459 4022,https://alexdilling.com/,"
68 Regent St., London, W1B 4DY
","AMEX, Mastercard, Visa"
34,"
The Blues Kitchen - Shoreditch
",American,Casual Dining,+44 20 7729 7216,http://www.theblueskitchen.com/,"
The Blues Kitchen 134 Curtain Road, London, EC2A 3AR
","Mastercard, Visa"
35,"
Arabica Borough Market
","Middle Eastern, Lebanese, Turkish",Casual Dining,+44 20 3011 5151,http://www.arabicalondon.com/,"
3 Rochester Walk, London, SE1 9AF
","AMEX, Mastercard, Visa"
36,"
Chef's Table at Marcus
","British, Contemporary European",Casual Elegant,+44 20 7235 1200,http://www.marcuswareing.com/private-dining/chefs-table-at-marcus/,"
The Berkeley Wilton Place, London, SW1X 7RL
","AMEX, Mastercard, Visa"
37,"
La Pizzeria Italiana
","Italian, Pizzeria, Seafood",Casual Dining,+44 20 8461 4606,http://www.lapizzaitalia.com/,"
3, Eros House Brownhill Rd, London, SE6 2EF
","AMEX, JCB, Mastercard, Visa"
38,"
Pix - Covent Garden
",Tapas / Small Plates,Casual Dining,+44 20 7836 9779,http://www.pix-bar.com/,"
63 Neal Street, London, WC2H 9PJ
","AMEX, Mastercard, Visa"
39,"
The City Barge
","Gastro Pub, Seafood",Casual Dining,+44 20 8994 2148,http://www.citybargechiswick.com/,"
27 Strand on the Green, London, W4 3PH
","AMEX, Mastercard, Visa"
40,"
La Tagliata
",Italian,Casual Elegant,+44 20 7377 1551,https://www.la-tagliata.com/,"
11 Sandy's Row, London, E1 7HW
","AMEX, Mastercard, Visa"
41,"
Sweet Thursday
","Pizzeria, Italian",Casual Dining,+44 20 7226 1727,http://www.sweetthursday.co.uk/,"
95 Southgate Road, London, N1 3JS
","Cash not accepted, Mastercard, Visa"
42,"
The Scolt Head
",British,Casual Dining,+44 20 7254 3965,http://www.thescolthead.co.uk/contact.htm,"
107A Culford Road, London, N1 4HT
","Mastercard, Visa"
43,"
Kouzu
","Japanese, Asian, Pan-Asian",Casual Elegant,+44 20 7730 7043,http://www.kouzu.co.uk/,"
21 Grosvenor Gardens, London, SW1W 0JW
","AMEX, Mastercard, Visa"
44,"
The Wine Place - South Kensington
","Japanese, Asian, Pan-Asian",Casual Dining,+44 20 7730 7043,http://www.italianwines.com/,"
72 Old Brompton Road, London, SW7 3LQ
","AMEX, Mastercard, Visa"
45,"
Corner Room
","Contemporary British, European",Casual Dining,+44 20 8709 4525,https://www.townhallhotel.com/food-and-drink/corner_room,"
Town Hall Hotel Patriot Square, London, E2 9NF
","AMEX, Mastercard, Visa"
46,"
Bife
","Steakhouse, Bar / Lounge / Bottle Service, Argentinian",Casual Dining,+44 20 7650 7948,http://www.bife.co.uk/,"
40-42 Middlesex Street, London, E1 7EX
","AMEX, Mastercard, Visa"
47,"
M Threadneedle Street
","Steakhouse, Steak, Seafood",Casual Elegant,+44 20 3327 7770,http://www.mrestaurants.co.uk/,"
2 & 3 Threadneedle Walk, London, EC2R 8HP
","AMEX, Cheque Gourmet, Diners Club, Mastercard, Visa"
48,"
Omnino Leadenhall
",Steak,Casual Dining,+44 20 3538 3530,http://www.omninorestaurants.com/,"
78-79 Leadenhall Street, London, EC3A 3DH
","AMEX, Mastercard, Visa"
49,"
Boot and Flogger
","British, Winery, Wine Bar",Casual Dining,+44 20 7407 1184,http://www.davy.co.uk/bootandflogger,"
10-20 Redcross Way, London, SE1 1TA
","AMEX, Mastercard, Visa"
50,"
The Factory House
","British, Breakfast, Steakhouse",Casual Dining,+44 20 7929 4590,http://www.davy.co.uk/wine-bar/factory-house/,"
No. 10 Lime Street, London, EC3M 7AA
","AMEX, Mastercard, Visa"
51,"
Davy's at Plantation Place
","British, Wine Bar, Winery",Casual Dining,+44 20 7621 9878,http://www.davy.co.uk/plantationplace,"
Unit 8, London, EC3R 7BD
","AMEX, Mastercard, Visa"
52,"
The Bunghole Cellars
","British, Wine Bar, Winery",Casual Dining,+44 20 7831 8365,https://www.davy.co.uk/bunghole-cellars/,"
57 High Holborn, London, WC1V 6DT
","AMEX, Mastercard, Visa"
53,"
Sorella
",Italian,Casual Dining,+44 20 7720 4662,http://www.sorellarestaurant.co.uk/,"
148 Clapham Manor Street, London, SW4 6BX
","Mastercard, Visa"
54,"
Afternoon Tea at St Paul's Hotel
",Italian,Fine Dining,+44 20 7720 4662,http://www.sorellarestaurant.co.uk/,"
153 Hammersmith Road, London, W6 7BY
","AMEX, Mastercard, Visa"
55,"
Spring Restaurant
",Contemporary British,Casual Elegant,+44 20 3011 0115,http://www.springrestaurant.co.uk/,"
Somerset House, New Wing Lancaster Place, London, WC2R 1LA
","AMEX, Mastercard, Visa"
56,"
Blades Restaurant
",Italian,Casual Dining,+44 20 8789 0869,http://www.bladesrestaurant.co.uk/,"
94 Lower Richmond Road Putney, London, SW15 1LL
","Mastercard, Visa"
57,"
Ristorante Belvedere
",Italian,Casual Elegant,+44 20 8998 9786,http://www.ristorantebelvedere.co.uk/,"
11/12 Abbey Parade, London, W5 1EE
","AMEX, Mastercard, Visa"
58,"
The Duke
","British, Gastro Pub",Casual Dining,+44 20 8989 0014,http://thedukewanstead.com/,"
79 Nightingale Lane, London, E11 2EY
","AMEX, Mastercard, Visa"
59,"
Twist
","Tapas / Small Plates, Mediterranean, Steak",Casual Dining,+44 20 7723 3377,http://www.twistkitchen.co.uk/,"
42 Crawford Street, London, W1H 1JW
","AMEX, Mastercard, Visa"
60,"
Pix Confessional Cocktail Club
",Tapas / Small Plates,Casual Dining,+44 20 7727 6978,http://www.pix-bar.com/,"
185 Portobello Road, London, W11 2ED
","Mastercard, Visa"
61,"
The Rajdoot
","Indian, Contemporary Indian, Southeast Asian",Casual Dining,+44 20 7486 2055,http://therajdootindian.com/,"
49 Paddington St, London, W1U 4HW
","AMEX, Mastercard, Visa"
62,"
Rondo
","British, Vegetarian / Vegan, Organic",Casual Dining,+44 20 7661 3030,https://thehoxton.com/london/holborn/rondo-restaurant/,"
199-206 High Holborn, London, WC1V 7BD
","AMEX, Mastercard, Visa"
63,"
Villa di Geggiano
",Italian,Casual Elegant,+44 20 3384 9442,http://www.villadigeggiano.co.uk/,"
66-68 Chiswick High Road, London, W4 1SY
","AMEX, Carte Blanche, Diners Club, Discover, JCB, Mastercard, Pay with "
64,"
Pachamama
","Peruvian, Contemporary Latin American, Tapas / Small Plates",Casual Dining,+44 20 7935 9393,http://www.pachamamalondon.com/,"
18 Thayer Street, London, W1U 3JY
","AMEX, Diners Club, JCB, Mastercard, Visa"
65,"
Ristorante Frescobaldi London
","Italian, Modern Tuscan",Fine Dining,+44 20 3693 3435,http://www.frescobaldi.london/,"
15 New Burlington Place, London, W1S 2HX
","AMEX, Mastercard, Visa"
66,"
Senor Ceviche - Carnaby
","Peruvian, South American, Tapas / Small Plates",Casual Dining,+44 20 7842 8540,http://www.senor-ceviche.com/,"
Kingly Court, London, W1B 5PW
","AMEX, Mastercard, Visa"
67,"
Champagne Bar at The Landmark London Hotel
","Modern European, Afternoon Tea, Bar / Lounge / Bottle Service",Casual Elegant,+44 20 7631 8000,https://www.landmarklondon.co.uk/dining/,"
222 Marylebone Rd, London, NW1 6JQ
","AMEX, Mastercard, Visa"
68,"
Zaika Restaurant
",Indian,Fine Dining,+44 20 7795 6533,http://www.zaikaofkensington.com/,"
1 Kensington High Street, London, W8 5NP
","AMEX, Mastercard, Visa"
69,"
The Duke Of Cambridge
","British, Organic",Casual Dining,+44 20 7359 3066,http://www.dukeorganic.co.uk/,"
30 St Peter's Street, London, N1 8JT
","AMEX, Mastercard, Visa"
70,"
Engawa Restaurant
",Japanese,Elegant Dining,+44 20 7287 5724,http://www.engawa.london/,"
Unit 4, 2 Ham Yard, London, W1D 7DT
","AMEX, Mastercard, Visa"
71,"
Chai Wu Harrods
","Chinese, Asian",Fine Dining,+44 20 3819 8888,http://www.chaiwu.co.uk/,"
87-135 Brompton Road, London, SW1X 7XL
","AMEX, Diners Club, Discover, JCB, Mastercard, Visa"
72,"
Jinjuu Soho
","Korean, Asian, Fusion / Eclectic",Casual Dining,+44 20 8181 8887,http://www.jinjuu.com/,"
15 Kingly Street, London, W1B 5PS
","AMEX, Mastercard, Visa"
73,"
Tredwells
","British, Contemporary British, Vegetarian / Vegan",Casual Dining,+44 20 3764 0840,http://www.tredwells.com/,"
4A Upper St Martins Lane, London, WC2H 9NY
","AMEX, Mastercard, Visa"
74,"
Sinabro Restaurant
",French,Casual Elegant,+44 20 3302 3120,http://www.sinabro.co.uk/,"
28 Battersea Rise, London, SW11 1EE
","AMEX, Mastercard, Visa"
75,"
Tapa Tapa
","Tapas / Small Plates, Spanish, European",Casual Dining,+44 20 7473 4874,http://www.tapatapa.com/,"
Unit R4, Warehouse K, Western Gateway, London, E16 1DR
","AMEX, Mastercard, Visa"
76,"
Yida Sushi Restaurant
",Japanese,Casual Dining,+44 20 8617 9949,http://www.yidasushi.uk/,"
246 St Paul's Rd, London, N1 2LJ
","Mastercard, Visa"
77,"
Yama Momo
","Japanese, Asian",Casual Dining,+44 20 8299 1007,http://www.yamamomo.co.uk/,"
72 Lordship Lane, London, SE22 8HF
","AMEX, Mastercard, Visa"
78,"
Bugis Street Brasserie at Millennium Gloucester Hotel
","Southeast Asian, Chinese",Casual Dining,+44 20 7331 6211,http://www.millenniumhotels.co.uk/millenniumglouce,"
Millennium Gloucester Hotel Courtfield Road, London, SW7 4LH
","AMEX, Diners Club, JCB, Mastercard, Visa"
79,"
Alexander The Great
","Greek, Mediterranean",Casual Dining,+44 20 7388 1111,https://alexanderthegreatgreekrestaurant.co.uk/,"
8 Plender St, London, NW1 0JT
","AMEX, Mastercard, Visa"
80,"
Pino
","Italian, Wine Bar, Tapas / Small Plates",Casual Dining,+44 20 7602 6777,http://www.pinobar.co.uk/,"
267 Kensington High Street, London, W8 6NA
","AMEX, Mastercard, Visa"
81,"
Shampan Welling
","Indian, Halal",Casual Dining,+44 20 8304 9569,http://www.shampangroup.co.uk/,"
8 Falconwood Parade, London, DA16 2PL
","AMEX, Mastercard, Visa"
82,"
Hixter Bankside Restaurant & Bar
","British, Steak, Asian",Casual Dining,+44 20 7921 9508,http://www.hixterbankside.co.uk/,"
16 Great Guildford Street, London, SE1 0HS
","AMEX, Mastercard, Visa"
83,"
Cepages
","French, Tapas / Small Plates, Bistro",Casual Dining,+44 20 3602 8890,http://cepages.co.uk/,"
69 Westbourne Park Road, London, W2 5QH
","AMEX, Mastercard, Visa"
84,"
Afternoon Tea at Rosewood London
",Afternoon Tea,Casual Elegant,+44 20 3747 8670,http://www.rosewoodhotels.com/en/london/dining/Art-Afternoon-Tea,"
252 High Holborn, London, WC1V 7EN
","AMEX, Mastercard, Visa"
85,"
Thali and Pickles
",Indian,Fine Dining,+44 20 8673 3773,http://thaliandpickles.co.uk/index.html,"
5-6 Balham Station Road, London, SW12 9SG
","AMEX, Discover, JCB, Mastercard, Visa"
86,"
Laxeiro
","Spanish, European, Vegetarian",Casual Dining,+44 20 7729 1147,http://www.laxeiro.co.uk/,"
93 Columbia Road, London, E2 7RG
","Mastercard, Visa"
87,"
Zelman Meats
","Meat, Steak, Barbecue",Casual Dining,+44 20 7437 0566,http://www.zelmanmeats.com/,"
2 St Anne""s Court, London, W1F 0AZ
","AMEX, Mastercard, Visa"
88,"
The Arber Garden
","British, European",Casual Dining,+44 20 3761 0200,https://www.thearbergarden.co.uk/,"
1 Pearson Square, London, W1W 7EY
","AMEX, Mastercard, Visa"
89,"
Li Veli Winery & Bistro
","Italian, Mediterranean, Bar / Lounge / Bottle Service",Casual Dining,+44 20 7240 8163,http://www.liveli.co.uk/,"
69 Long Acre, London, WC2E 9JS
","AMEX, Mastercard, Visa"
90,"
Bar Restaurant 48
","Eritrean, Ethiopian, Tapas / Small Plates",Casual Dining,+44 7940 785579,http://www.bar48london.com/,"
48 Brixton Road, London, SW9 6BT
","AMEX, Mastercard, Visa"
91,"
The Crown & Anchor
","British, Beer Garden, Bar / Lounge / Bottle Service",Casual Dining,+44 20 7737 0060,http://www.crownandanchorbrixton.co.uk/,"
246 Brixton Road, London, SW9 6AQ
","AMEX, Mastercard, Visa"
92,"
Shimogamo
","Japanese, Sushi",Casual Elegant,+44 20 7424 9560,http://www.shimogamo.co.uk/,"
108 Parkway, London, NW1 7AN
","Mastercard, Visa"
93,"
Ottolenghi Spitalfields
","Mediterranean, Middle Eastern",Casual Elegant,+44 20 7247 1999,http://www.ottolenghi.co.uk/,"
50 Artillery Lane, London, E1 7LJ
","Mastercard, Visa"
94,"
Niche Gluten-free Dining
","Contemporary European, Comfort food, Vegetarian / Vegan",Casual Elegant,+44 20 7837 5048,http://www.nichefoodanddrink.com/,"
197-199 Rosebery Avenue, London, EC1R 4TJ
","AMEX, Mastercard, Visa"
95,"
Bang Bang Vietnamese Canteen
","Vietnamese, Asian",Casual Dining,+44 20 7388 3629,http://www.bangbangcanteen.co.uk/,"
53 Warren Street, London, W1T 5NL
","AMEX, Mastercard, Visa"
96,"
Alexandrie Restaurant
","Egyptian, Middle Eastern, Mediterranean",Casual Elegant,+44 20 7937 2244,http://www.alexandrie.co.uk/,"
38c Kensington Church Street, London, W8 4BX
","AMEX, Mastercard, Visa"
97,"
Smith & Wollensky London
","Steakhouse, Steak, American",Casual Elegant,+44 20 7321 6007,http://www.smithandwollensky.co.uk/,"
The Adelphi Building, London, WC2N 6HT
","AMEX, Mastercard, Visa"
98,"
Nam Long Le Shaker
","Pan-Asian, Asian, Vietnamese",Casual Dining,+44 20 7373 1926,http://www.namlong.co.uk/,"
159 Old Brompton Road, London, SW5 0LJ
","AMEX, Mastercard, Visa"
99,"
Panshi Hinchley Wood
",Indian,Casual Dining,+44 20 8398 8585,http://www.thepanshi.co.uk/,"
7 Station Approach, London, KT10 0SP
","Mastercard, Visa"
100,"
The Botanist Broadgate Circle
",British,Casual Dining,+44 20 3058 9888,http://www.thebotanistbroadgate.com/,"
Unit T5, London, EC2M 2QS
","AMEX, Mastercard, Visa"
101,"
Café Murano – Covent Garden Dining Counter
","Italian, Italian",Casual Dining,+44 20 7240 3654,http://www.cafemurano.co.uk/,"
36 Tavistock Street, London, WC2E 7PB
","AMEX, Mastercard, Visa"
102,"
2K Steak House
","Argentinian, Steakhouse",Casual Elegant,+44 20 7354 0300,http://www.2ksteakhouse.london/,"
326 Essex Road, London, N1 3PB
","Mastercard, Visa"
103,"
Camino Bankside
",Spanish,Casual Dining,+44 20 3617 3169,http://www.camino.uk.com/,"
5 Canvey Street, London, SE1 9
","AMEX, Mastercard, Visa"
104,"
Daylesford Marylebone
","Organic, British, Afternoon Tea",Casual Dining,+44 20 3696 6500,http://daylesford.com/,"
6-8 Blandford Street, London, W1U 4AU
","AMEX, Mastercard, Visa"
105,"
Wright Brothers - South Kensington
","Seafood, Fish",Casual Dining,+44 20 7581 0131,http://www.thewrightbrothers.co.uk/,"
56 Old Brompton Road, London, SW7 3DY
","AMEX, Mastercard, Visa"
106,"
Hungry Donkey
","Greek, Vegetarian, Mediterranean",Casual Dining,+44 20 7392 9649,http://www.hungrydonkey.co.uk/,"
56 Wentworth street, London, E1 7AL
","AMEX, Mastercard, Visa"
107,"
The Little Viet Kitchen
",Vietnamese,Casual Dining,+44 20 7837 9779,http://www.thelittlevietkitchen.com/,"
2 Chapel Market, London, N1 9EZ
","AMEX, Mastercard, Visa"
108,"
The Orangery at Number Sixteen Hotel
",British,Casual Elegant,+44 20 3642 2038,https://www.firmdalehotels.com/hotels/london/number-sixteen/the-orangery-at-number-sixteen/,"
16 Sumner Place, London, SW7 3EG
","AMEX, Mastercard, Visa"
109,"
Yauatcha City (Sharing Tables)
",Chinese,Casual Dining,+44 20 3817 9888,http://www.yauatcha.com/,"
Broadgate Circle, London, EC2M 2QS
","AMEX, Mastercard, Visa"
110,"
Yauatcha City
",Chinese,Casual Dining,+44 20 3817 9888,http://www.yauatcha.com/,"
Broadgate Circle, London, EC2M 2QS
","AMEX, Mastercard, Visa"
111,"
Masala Kitchen
",Indian,Casual Dining,+44 20 8870 2468,http://themasalakitchen.com/,"
103 East Hill, London, SW18 2QB
","AMEX, Mastercard, Visa"
112,"
LOBOS Meat & Tapas - Borough
",Spanish,Casual Dining,+44 20 7407 5361,http://www.lobostapas.co.uk/,"
14 Borough High Street, London, SE1 9QG
","AMEX, Mastercard, Visa"
113,"
ROKA - Aldwych
",Japanese,Casual Elegant,+44 20 7294 7636,http://www.rokarestaurant.com/,"
71 Aldwych, London, WC2B 4HN
","AMEX, Mastercard, Visa"
114,"
Estiatorio Milos – London
","Seafood, Mediterranean, Greek",Casual Elegant,+44 20 7839 2080,http://www.estiatoriomilos.com/,"
1 Regent Street, London, SW1Y 4NR
","AMEX, Mastercard, Visa"
115,"
TOKIMEITE
",Japanese,Casual Elegant,+44 20 3826 4411,http://www.tokimeite.com/,"
23 Conduit Street, London, W1S 2XS
","AMEX, Mastercard, Visa"
116,"
Black Roe
","Asian, Global, International, Sushi",Casual Dining,+44 20 3794 8448,http://www.blackroe.com/,"
4 Mill Street, London, W1S 2AX
","AMEX, Mastercard, Visa"
117,"
Chai Ki (Restaurant)
","Contemporary Indian, Soul food, Soul food",Casual Elegant,+44 20 7516 0444,http://www.chai-ki.com/,"
1 Crossrail Place, London, E14 5AR
","AMEX, JCB, Mastercard, Visa"
118,"
Theo Simple Italian Afternoon Tea
","Italian, Afternoon Tea",Casual Dining,+44 20 7370 9130,http://www.theossimpleitalian.co.uk/italian-afternoon-tea,"
34-44 Barkston Gardens, London, SW5 0EW
","Mastercard, Visa"
119,"
May Fair Bar
","Bar / Lounge / Bottle Service, Cocktail bar",Casual Elegant,+44 20 7769 8200,https://www.themayfairhotel.co.uk/en/bars-and-restaurants/bar.html,"
Stratton Street, London, W1J 8LT
","AMEX, Mastercard, Visa"
120,"
La Mama Acasa
",Eastern European,Casual Dining,+44 209 514 1325,http://lamama.co.uk/,"
81 Cranbrook Road, London, IG1 4PG
","AMEX, Mastercard, Visa"
121,"
Afternoon Tea at Flemings Mayfair
","Afternoon Tea, European",Casual Dining,+44 20 7016 5601,https://www.flemings-mayfair.co.uk/fine-dining-london/the-drawing-room,"
7-12 Half Moon St, London, W1J 7BH
","AMEX, Diners Club, Discover, JCB, Mastercard, Visa"
122,"
Pidgin
","Modern European, British, International",Casual Dining,+44 20 7254 8311,http://www.pidginlondon.com/,"
52 Wilton Way, London, E8 1BG
","AMEX, Mastercard, Visa"
123,"
Goldfish Modern Chinese & Dim Sum Restaurant
","Chinese, Dim Sum",Casual Elegant,+44 20 7794 2828,http://www.goldfish-restaurant.com/,"
16 Hampstead High Street, London, NW3 1PX
","Mastercard, Visa"
124,"
The Italian Greyhound
","Italian, British",Casual Dining,+44 20 3826 7940,http://theitaliangreyhound.co.uk/,"
62-64 Seymour Street, London, W1H 5BN
","AMEX, Mastercard, Visa"
125,"
ZIMA Russian Restaurant
","Russian, Eastern European, Contemporary European",Casual Dining,+44 20 7494 9111,http://zima.restaurant/,"
45 Frith Street, London, W1D 4SD
","AMEX, Mastercard, Visa"
126,"
Casa Cruz
","Argentinian, South American, European",Casual Elegant,+44 20 3321 5400,http://www.casacruz.co.uk/,"
123a Clarendon Road, London, W11 4JG
","AMEX, Mastercard, Visa"
127,"
Tootoomoo Whetstone
","Pan-Asian, Chinese, Japanese",Casual Dining,+44 20 8446 8644,http://www.tootoomoo.co.uk/,"
1371 High Road, London, N20 9LN
","AMEX, Mastercard, Visa"
128,"
Bella Cosa Restaurant
","Italian, Pizza Bar, Seafood",Fine Dining,+44 20 7132 1212,http://www.bellacosarestaurant.com/,"
Drewry House 213 Marsh Wall, London, E14 9FJ
","AMEX, Diners Club, Discover, JCB, Mastercard, Visa"
129,"
Fulham Kitchen
","Continental, Mediterranean",Casual Elegant,+44 20 3609 3354,http://www.fulhamkitchen.com/,"
228 Munster Road, London, SW6 6AZ
","AMEX, Mastercard, Visa"
130,"
Dan&Angel Restaurant
","Pizza Bar, Mediterranean, Vegetarian / Vegan",Casual Dining,+44 20 7738 1222,http://www.dnarestaurant.uk/,"
143 St John Hill, London, SW11 1TQ
","AMEX, Mastercard, Visa"
131,"
Arlo's Balham
","Steak, Vegetarian, British",Casual Dining,+44 20 3019 6590,http://www.arlos.co.uk/,"
1 Ramsden Road, London, SW12 8QX
","Mastercard, Visa"
132,"
Swans Bar at Maison Assouline
","French, Modern European",Casual Elegant,+44 20 3034 1197,http://www.maisonassouline.com/,"
196A Piccadilly, London, W1J 9EY
","AMEX, Mastercard, Visa"
133,"
TOZI Victoria
",Italian,Casual Dining,+44 20 7769 9771,http://www.tozirestaurant.co.uk/home,"
8 Gillingham Street, London, SW1V 1HJ
","AMEX, Diners Club, Discover, JCB, Mastercard, Visa"
134,"
La Petite Ferme London
",French,Home Style,+44 20 7837 5293,http://www.lafermelondon.com/,"
102-104 Farringdon, London, EC1R 3EA
","AMEX, Mastercard, Visa"
135,"
Delicious by Franco
",Italian,Casual Dining,+44 20 7482 3460,http://www.deliciousbyfranco.co.uk/,"
320 Kentish Town Road, London, NW5 2HT
","Mastercard, Visa"
