,Unnamed: 0,Name,Cusines,Dining_style,Phone number,Website,Location,Payment Options,website_status
12,14,"
Pix Notting Hill
",Tapas / Small Plates,Casual Dining,+44 20 7727 6978,http://www.pix-bar.com/nottinghill.html,"
185 Portobello Road, London, W11 2ED
","AMEX, Mastercard, Visa",True
13,16,"
Harar Restaurant
","Ethiopian, English, Thaï",Casual Dining,+44 20 7735 8915,http://www.hararrestaurant.co.uk/,"
49 South Lambeth Road, London, SW8 1RH
","Mastercard, Visa",True
14,18,"
Siracusa Italian Kitchen
",British,Casual Dining,+44 20 7734 8040,http://www.fortnumandmason.co.uk/,"
High Street, London, TW8 8LF
","AMEX, Mastercard, Visa",True
15,19,"
Manuel's Restaurant and Bar
","Italian, Mediterranean",Casual Dining,+44 20 8670 1843,http://www.manuelsrestaurantandbar.com/,"
129 Gipsy Hill, London, SE19 1QS
","AMEX, Diners Club, JCB, Mastercard, Visa",True
16,20,"
Sushi Cafe
","Japanese, Chinese",Casual Dining,+44 20 7228 7011,http://www.sushicafe.co.uk/,"
555 Battersea Park Road, London, SW11 3BL
","Mastercard, Visa",True
17,21,"
Bloody Bens
","Tapas / Small Plates, Cocktail bar, Distillery",Casual Dining,+44 20 8944 0452,http://www.bloodybens.com/,"
422 Garratt Lane, London, SW18 4HW
","AMEX, Mastercard, Visa",True
18,23,"
Wild Mango in Kent
",Indian,Casual Dining,+44 20 8793 3502,http://www.wildmango.co.uk/,"
243 High Street, London, BR3 1BN
","Mastercard, Visa",True
19,24,"
Great Queen Street
","British, European",Casual Dining,+44 20 7242 0622,http://www.greatqueenstreetrestaurant.com/,"
32 Great Queen Street, London, WC2B 5AA
","Mastercard, Visa",False
20,25,"
Lyle's Restaurant
",British,Casual Dining,+44 20 3011 5911,http://lyleslondon.com/,"
56 Shoreditch High Street, London, E1 6JJ
","AMEX, Mastercard, Visa",True
21,26,"
Social 24
",Contemporary British,Casual Dining,+44 20 7877 7703,http://www.citysociallondon.com/,"
25 Old Broad Street Tower 42, London, EC2N 1HT
","AMEX, Mastercard, Visa",True
22,28,"
Super Star
",Chinese,Casual Dining,+44 20 7287 3822,http://www.superstarrestaurant.com/,"
17 Lisle street, London, WC2H 7BE
","Mastercard, Visa",True
23,30,"
The India Gate
","Indian, Nepalese",Casual Dining,+44 20 8699 9345,http://www.theindiagaterestaurant.co.uk/,"
47 London Rd Forrest Hill, London, SE23 3TY
","Mastercard, Visa",True
24,31,"
BOMBAY CHOW
","Chinese, Fusion / Eclectic",Casual Dining,+44 20 8741 0292,http://www.bombaychow.co.uk/,"
220 King Street, London, W6 0RA
","Mastercard, Visa",True
25,32,"
Ham Yard Bar and Restaurant
","Modern European, British",Casual Dining,+44 20 3642 1007,http://www.hamyardhotel.com/,"
One Ham Yard, London, W1D 7DT
","AMEX, Carte Blanche, Diners Club, Discover, JCB, Mastercard, Visa",True
26,33,"
Alex Dilling at Hotel Café Royal
","French, Contemporary European, Modern European",Casual Dining,+44 20 7459 4022,https://alexdilling.com/,"
68 Regent St., London, W1B 4DY
","AMEX, Mastercard, Visa",True
27,34,"
The Blues Kitchen - Shoreditch
",American,Casual Dining,+44 20 7729 7216,http://www.theblueskitchen.com/,"
The Blues Kitchen 134 Curtain Road, London, EC2A 3AR
","Mastercard, Visa",True
28,35,"
Arabica Borough Market
","Middle Eastern, Lebanese, Turkish",Casual Dining,+44 20 3011 5151,http://www.arabicalondon.com/,"
3 Rochester Walk, London, SE1 9AF
","AMEX, Mastercard, Visa",True
29,37,"
La Pizzeria Italiana
","Italian, Pizzeria, Seafood",Casual Dining,+44 20 8461 4606,http://www.lapizzaitalia.com/,"
3, Eros House Brownhill Rd, London, SE6 2EF
","AMEX, JCB, Mastercard, Visa",True
30,38,"
Pix - Covent Garden
",Tapas / Small Plates,Casual Dining,+44 20 7836 9779,http://www.pix-bar.com/,"
63 Neal Street, London, WC2H 9PJ
","AMEX, Mastercard, Visa",True
31,39,"
The City Barge
","Gastro Pub, Seafood",Casual Dining,+44 20 8994 2148,http://www.citybargechiswick.com/,"
27 Strand on the Green, London, W4 3PH
","AMEX, Mastercard, Visa",True
32,41,"
Sweet Thursday
","Pizzeria, Italian",Casual Dining,+44 20 7226 1727,http://www.sweetthursday.co.uk/,"
95 Southgate Road, London, N1 3JS
","Cash not accepted, Mastercard, Visa",True
33,42,"
The Scolt Head
",British,Casual Dining,+44 20 7254 3965,http://www.thescolthead.co.uk/contact.htm,"
107A Culford Road, London, N1 4HT
","Mastercard, Visa",True
34,44,"
The Wine Place - South Kensington
","Japanese, Asian, Pan-Asian",Casual Dining,+44 20 7730 7043,http://www.italianwines.com/,"
72 Old Brompton Road, London, SW7 3LQ
","AMEX, Mastercard, Visa",True
35,45,"
Corner Room
","Contemporary British, European",Casual Dining,+44 20 8709 4525,https://www.townhallhotel.com/food-and-drink/corner_room,"
Town Hall Hotel Patriot Square, London, E2 9NF
","AMEX, Mastercard, Visa",True
36,46,"
Bife
","Steakhouse, Bar / Lounge / Bottle Service, Argentinian",Casual Dining,+44 20 7650 7948,http://www.bife.co.uk/,"
40-42 Middlesex Street, London, E1 7EX
","AMEX, Mastercard, Visa",True
37,48,"
Omnino Leadenhall
",Steak,Casual Dining,+44 20 3538 3530,http://www.omninorestaurants.com/,"
78-79 Leadenhall Street, London, EC3A 3DH
","AMEX, Mastercard, Visa",True
38,49,"
Boot and Flogger
","British, Winery, Wine Bar",Casual Dining,+44 20 7407 1184,http://www.davy.co.uk/bootandflogger,"
10-20 Redcross Way, London, SE1 1TA
","AMEX, Mastercard, Visa",True
39,50,"
The Factory House
","British, Breakfast, Steakhouse",Casual Dining,+44 20 7929 4590,http://www.davy.co.uk/wine-bar/factory-house/,"
No. 10 Lime Street, London, EC3M 7AA
","AMEX, Mastercard, Visa",True
40,51,"
Davy's at Plantation Place
","British, Wine Bar, Winery",Casual Dining,+44 20 7621 9878,http://www.davy.co.uk/plantationplace,"
Unit 8, London, EC3R 7BD
","AMEX, Mastercard, Visa",True
41,52,"
The Bunghole Cellars
","British, Wine Bar, Winery",Casual Dining,+44 20 7831 8365,https://www.davy.co.uk/bunghole-cellars/,"
57 High Holborn, London, WC1V 6DT
","AMEX, Mastercard, Visa",True
42,53,"
Sorella
",Italian,Casual Dining,+44 20 7720 4662,http://www.sorellarestaurant.co.uk/,"
148 Clapham Manor Street, London, SW4 6BX
","Mastercard, Visa",True
43,56,"
Blades Restaurant
",Italian,Casual Dining,+44 20 8789 0869,http://www.bladesrestaurant.co.uk/,"
94 Lower Richmond Road Putney, London, SW15 1LL
","Mastercard, Visa",True
44,58,"
The Duke
","British, Gastro Pub",Casual Dining,+44 20 8989 0014,http://thedukewanstead.com/,"
79 Nightingale Lane, London, E11 2EY
","AMEX, Mastercard, Visa",True
45,59,"
Twist
","Tapas / Small Plates, Mediterranean, Steak",Casual Dining,+44 20 7723 3377,http://www.twistkitchen.co.uk/,"
42 Crawford Street, London, W1H 1JW
","AMEX, Mastercard, Visa",True
46,60,"
Pix Confessional Cocktail Club
",Tapas / Small Plates,Casual Dining,+44 20 7727 6978,http://www.pix-bar.com/,"
185 Portobello Road, London, W11 2ED
","Mastercard, Visa",True
47,61,"
The Rajdoot
","Indian, Contemporary Indian, Southeast Asian",Casual Dining,+44 20 7486 2055,http://therajdootindian.com/,"
49 Paddington St, London, W1U 4HW
","AMEX, Mastercard, Visa",True
48,62,"
Rondo
","British, Vegetarian / Vegan, Organic",Casual Dining,+44 20 7661 3030,https://thehoxton.com/london/holborn/rondo-restaurant/,"
199-206 High Holborn, London, WC1V 7BD
","AMEX, Mastercard, Visa",True
49,64,"
Pachamama
","Peruvian, Contemporary Latin American, Tapas / Small Plates",Casual Dining,+44 20 7935 9393,http://www.pachamamalondon.com/,"
18 Thayer Street, London, W1U 3JY
","AMEX, Diners Club, JCB, Mastercard, Visa",True
50,66,"
Senor Ceviche - Carnaby
","Peruvian, South American, Tapas / Small Plates",Casual Dining,+44 20 7842 8540,http://www.senor-ceviche.com/,"
Kingly Court, London, W1B 5PW
","AMEX, Mastercard, Visa",True
51,69,"
The Duke Of Cambridge
","British, Organic",Casual Dining,+44 20 7359 3066,http://www.dukeorganic.co.uk/,"
30 St Peter's Street, London, N1 8JT
","AMEX, Mastercard, Visa",True
52,72,"
Jinjuu Soho
","Korean, Asian, Fusion / Eclectic",Casual Dining,+44 20 8181 8887,http://www.jinjuu.com/,"
15 Kingly Street, London, W1B 5PS
","AMEX, Mastercard, Visa",True
53,73,"
Tredwells
","British, Contemporary British, Vegetarian / Vegan",Casual Dining,+44 20 3764 0840,http://www.tredwells.com/,"
4A Upper St Martins Lane, London, WC2H 9NY
","AMEX, Mastercard, Visa",True
54,75,"
Tapa Tapa
","Tapas / Small Plates, Spanish, European",Casual Dining,+44 20 7473 4874,http://www.tapatapa.com/,"
Unit R4, Warehouse K, Western Gateway, London, E16 1DR
","AMEX, Mastercard, Visa",True
55,76,"
Yida Sushi Restaurant
",Japanese,Casual Dining,+44 20 8617 9949,http://www.yidasushi.uk/,"
246 St Paul's Rd, London, N1 2LJ
","Mastercard, Visa",True
56,77,"
Yama Momo
","Japanese, Asian",Casual Dining,+44 20 8299 1007,http://www.yamamomo.co.uk/,"
72 Lordship Lane, London, SE22 8HF
","AMEX, Mastercard, Visa",True
57,78,"
Bugis Street Brasserie at Millennium Gloucester Hotel
","Southeast Asian, Chinese",Casual Dining,+44 20 7331 6211,http://www.millenniumhotels.co.uk/millenniumglouce,"
Millennium Gloucester Hotel Courtfield Road, London, SW7 4LH
","AMEX, Diners Club, JCB, Mastercard, Visa",True
58,79,"
Alexander The Great
","Greek, Mediterranean",Casual Dining,+44 20 7388 1111,https://alexanderthegreatgreekrestaurant.co.uk/,"
8 Plender St, London, NW1 0JT
","AMEX, Mastercard, Visa",True
59,80,"
Pino
","Italian, Wine Bar, Tapas / Small Plates",Casual Dining,+44 20 7602 6777,http://www.pinobar.co.uk/,"
267 Kensington High Street, London, W8 6NA
","AMEX, Mastercard, Visa",True
60,81,"
Shampan Welling
","Indian, Halal",Casual Dining,+44 20 8304 9569,http://www.shampangroup.co.uk/,"
8 Falconwood Parade, London, DA16 2PL
","AMEX, Mastercard, Visa",True
61,82,"
Hixter Bankside Restaurant & Bar
","British, Steak, Asian",Casual Dining,+44 20 7921 9508,http://www.hixterbankside.co.uk/,"
16 Great Guildford Street, London, SE1 0HS
","AMEX, Mastercard, Visa",True
62,83,"
Cepages
","French, Tapas / Small Plates, Bistro",Casual Dining,+44 20 3602 8890,http://cepages.co.uk/,"
69 Westbourne Park Road, London, W2 5QH
","AMEX, Mastercard, Visa",True
63,86,"
Laxeiro
","Spanish, European, Vegetarian",Casual Dining,+44 20 7729 1147,http://www.laxeiro.co.uk/,"
93 Columbia Road, London, E2 7RG
","Mastercard, Visa",True
64,87,"
Zelman Meats
","Meat, Steak, Barbecue",Casual Dining,+44 20 7437 0566,http://www.zelmanmeats.com/,"
2 St Anne""s Court, London, W1F 0AZ
","AMEX, Mastercard, Visa",True
65,88,"
The Arber Garden
","British, European",Casual Dining,+44 20 3761 0200,https://www.thearbergarden.co.uk/,"
1 Pearson Square, London, W1W 7EY
","AMEX, Mastercard, Visa",True
66,89,"
Li Veli Winery & Bistro
","Italian, Mediterranean, Bar / Lounge / Bottle Service",Casual Dining,+44 20 7240 8163,http://www.liveli.co.uk/,"
69 Long Acre, London, WC2E 9JS
","AMEX, Mastercard, Visa",True
67,90,"
Bar Restaurant 48
","Eritrean, Ethiopian, Tapas / Small Plates",Casual Dining,+44 7940 785579,http://www.bar48london.com/,"
48 Brixton Road, London, SW9 6BT
","AMEX, Mastercard, Visa",False
68,91,"
The Crown & Anchor
","British, Beer Garden, Bar / Lounge / Bottle Service",Casual Dining,+44 20 7737 0060,http://www.crownandanchorbrixton.co.uk/,"
246 Brixton Road, London, SW9 6AQ
","AMEX, Mastercard, Visa",True
69,95,"
Bang Bang Vietnamese Canteen
","Vietnamese, Asian",Casual Dining,+44 20 7388 3629,http://www.bangbangcanteen.co.uk/,"
53 Warren Street, London, W1T 5NL
","AMEX, Mastercard, Visa",True
70,98,"
Nam Long Le Shaker
","Pan-Asian, Asian, Vietnamese",Casual Dining,+44 20 7373 1926,http://www.namlong.co.uk/,"
159 Old Brompton Road, London, SW5 0LJ
","AMEX, Mastercard, Visa",True
71,99,"
Panshi Hinchley Wood
",Indian,Casual Dining,+44 20 8398 8585,http://www.thepanshi.co.uk/,"
7 Station Approach, London, KT10 0SP
","Mastercard, Visa",True
72,100,"
The Botanist Broadgate Circle
",British,Casual Dining,+44 20 3058 9888,http://www.thebotanistbroadgate.com/,"
Unit T5, London, EC2M 2QS
","AMEX, Mastercard, Visa",True
73,101,"
Café Murano – Covent Garden Dining Counter
","Italian, Italian",Casual Dining,+44 20 7240 3654,http://www.cafemurano.co.uk/,"
36 Tavistock Street, London, WC2E 7PB
","AMEX, Mastercard, Visa",True
74,103,"
Camino Bankside
",Spanish,Casual Dining,+44 20 3617 3169,http://www.camino.uk.com/,"
5 Canvey Street, London, SE1 9
","AMEX, Mastercard, Visa",True
75,104,"
Daylesford Marylebone
","Organic, British, Afternoon Tea",Casual Dining,+44 20 3696 6500,http://daylesford.com/,"
6-8 Blandford Street, London, W1U 4AU
","AMEX, Mastercard, Visa",True
76,105,"
Wright Brothers - South Kensington
","Seafood, Fish",Casual Dining,+44 20 7581 0131,http://www.thewrightbrothers.co.uk/,"
56 Old Brompton Road, London, SW7 3DY
","AMEX, Mastercard, Visa",True
77,106,"
Hungry Donkey
","Greek, Vegetarian, Mediterranean",Casual Dining,+44 20 7392 9649,http://www.hungrydonkey.co.uk/,"
56 Wentworth street, London, E1 7AL
","AMEX, Mastercard, Visa",True
78,107,"
The Little Viet Kitchen
",Vietnamese,Casual Dining,+44 20 7837 9779,http://www.thelittlevietkitchen.com/,"
2 Chapel Market, London, N1 9EZ
","AMEX, Mastercard, Visa",True
79,109,"
Yauatcha City (Sharing Tables)
",Chinese,Casual Dining,+44 20 3817 9888,http://www.yauatcha.com/,"
Broadgate Circle, London, EC2M 2QS
","AMEX, Mastercard, Visa",True
80,110,"
Yauatcha City
",Chinese,Casual Dining,+44 20 3817 9888,http://www.yauatcha.com/,"
Broadgate Circle, London, EC2M 2QS
","AMEX, Mastercard, Visa",True
81,111,"
Masala Kitchen
",Indian,Casual Dining,+44 20 8870 2468,http://themasalakitchen.com/,"
103 East Hill, London, SW18 2QB
","AMEX, Mastercard, Visa",False
82,112,"
LOBOS Meat & Tapas - Borough
",Spanish,Casual Dining,+44 20 7407 5361,http://www.lobostapas.co.uk/,"
14 Borough High Street, London, SE1 9QG
","AMEX, Mastercard, Visa",True
83,116,"
Black Roe
","Asian, Global, International, Sushi",Casual Dining,+44 20 3794 8448,http://www.blackroe.com/,"
4 Mill Street, London, W1S 2AX
","AMEX, Mastercard, Visa",True
84,118,"
Theo Simple Italian Afternoon Tea
","Italian, Afternoon Tea",Casual Dining,+44 20 7370 9130,http://www.theossimpleitalian.co.uk/italian-afternoon-tea,"
34-44 Barkston Gardens, London, SW5 0EW
","Mastercard, Visa",True
85,120,"
La Mama Acasa
",Eastern European,Casual Dining,+44 209 514 1325,http://lamama.co.uk/,"
81 Cranbrook Road, London, IG1 4PG
","AMEX, Mastercard, Visa",True
86,121,"
Afternoon Tea at Flemings Mayfair
","Afternoon Tea, European",Casual Dining,+44 20 7016 5601,https://www.flemings-mayfair.co.uk/fine-dining-london/the-drawing-room,"
7-12 Half Moon St, London, W1J 7BH
","AMEX, Diners Club, Discover, JCB, Mastercard, Visa",True
87,122,"
Pidgin
","Modern European, British, International",Casual Dining,+44 20 7254 8311,http://www.pidginlondon.com/,"
52 Wilton Way, London, E8 1BG
","AMEX, Mastercard, Visa",True
88,124,"
The Italian Greyhound
","Italian, British",Casual Dining,+44 20 3826 7940,http://theitaliangreyhound.co.uk/,"
62-64 Seymour Street, London, W1H 5BN
","AMEX, Mastercard, Visa",True
89,125,"
ZIMA Russian Restaurant
","Russian, Eastern European, Contemporary European",Casual Dining,+44 20 7494 9111,http://zima.restaurant/,"
45 Frith Street, London, W1D 4SD
","AMEX, Mastercard, Visa",True
90,127,"
Tootoomoo Whetstone
","Pan-Asian, Chinese, Japanese",Casual Dining,+44 20 8446 8644,http://www.tootoomoo.co.uk/,"
1371 High Road, London, N20 9LN
","AMEX, Mastercard, Visa",True
91,130,"
Dan&Angel Restaurant
","Pizza Bar, Mediterranean, Vegetarian / Vegan",Casual Dining,+44 20 7738 1222,http://www.dnarestaurant.uk/,"
143 St John Hill, London, SW11 1TQ
","AMEX, Mastercard, Visa",True
92,131,"
Arlo's Balham
","Steak, Vegetarian, British",Casual Dining,+44 20 3019 6590,http://www.arlos.co.uk/,"
1 Ramsden Road, London, SW12 8QX
","Mastercard, Visa",True
93,133,"
TOZI Victoria
",Italian,Casual Dining,+44 20 7769 9771,http://www.tozirestaurant.co.uk/home,"
8 Gillingham Street, London, SW1V 1HJ
","AMEX, Diners Club, Discover, JCB, Mastercard, Visa",True
94,135,"
Delicious by Franco
",Italian,Casual Dining,+44 20 7482 3460,http://www.deliciousbyfranco.co.uk/,"
320 Kentish Town Road, London, NW5 2HT
","Mastercard, Visa",True
95,136,"
Orford Road Tapas
","Spanish, Latin / Spanish, Mediterranean",Casual Dining,+44 20 8503 6542,http://orfordtapas.co.uk/,"
32 Orford Road, London, E17 9NJ
","AMEX, Mastercard, Visa",True
96,137,"
Iberica Victoria
","Spanish, Tapas / Small Plates, Mediterranean",Casual Dining,+44 20 3026 5118,http://www.ibericarestaurants.com/,"
5-6 Zig Zag Building, London, SW1E 6SQ
","AMEX, Mastercard, Visa",True
97,138,"
The Market Thai
","Spanish, Tapas / Small Plates, Mediterranean",Casual Dining,+44 20 3026 5118,http://www.ibericarestaurants.com/,"
240 Portobello Rd, London, W11 1LL
","Mastercard, Visa",True
98,139,"
SUSHINOEN
",Japanese,Casual Dining,+44 20 3645 6734,http://www.sushinoen.com/,"
2 White Church Ln, London, E1 7QR
","AMEX, JCB, Mastercard, Visa",True
99,140,"
Indian Curry House Village Masaleh
","Indian, Pizzeria",Casual Dining,+44 20 8674 3388,http://www.lacasadegliamici.com/,"
196 Norwood Road Tulse Hill, London, SE27 9AU
","Mastercard, Visa",False
100,141,"
Social Wine and Tapas
","Tapas / Small Plates, British",Casual Dining,+44 20 7993 3257,http://www.socialwineandtapas.com/,"
39 James Street, London, W1U 1DL
","AMEX, Mastercard, Visa",True
101,142,"
El Inca Plebeyo
","Latin American, South American, Fusion / Eclectic",Casual Dining,+44 20 7704 9393,http://www.elincaplebeyo.co.uk/,"
162 Essex Road, London, N1 8LY
","Mastercard, Pay with OpenTable, Visa",True
102,143,"
La Barrique
","Pizza Bar, Wine Bar",Casual Dining,+44 20 7474 8042,http://www.labarrique.co.uk/,"
Warehouse K Western Gateway, London, E16 1DR
","AMEX, Discover, Mastercard, Visa",False
103,145,"
Bnova
",Indian,Casual Dining,+44 20 8905 6966,http://bnova.co.uk/,"
865 Honeypot Ln, London, HA7 1AR
","Mastercard, Visa",True
104,147,"
Cacio & Pepe
","Italian, Mediterranean, European",Casual Dining,+44 20 7630 7588,http://www.cacioepepe.co.uk/,"
46 Churton Street, London, SW1V 2LP
","AMEX, Diners Club, Mastercard, Visa",True
105,149,"
Cafe Amaranth
","Thaï, Indonesian / Malaysian, Asian",Casual Dining,+44 20 8874 9036,http://www.cafeamaranth.co.uk/,"
346-348 Garratt Lane, London, SW18 4ES
","Mastercard, Visa",True
106,151,"
Buenos Aires Cafe - Greenwich
","Argentinian, Steak",Casual Dining,+44 20 8858 9172,http://buenosairescafe.co.uk/,"
15 Nelson Road Greenwich Peninsula, London, SE10 9JB
","Mastercard, Visa",True
107,152,"
Buenos Aires Cafe - Blackheath
","Argentinian, Steak, Pizzeria",Casual Dining,+44 20 8318 5333,http://www.buenosairescafe.co.uk/,"
17 Royal Parade, London, SE3 0TL
","Mastercard, Visa",True
108,153,"
Ludlow's
","Mediterranean, Bar / Lounge / Bottle Service",Casual Dining,+44 20 7228 8840,http://ludlowsbarestaurant.com/,"
15 Battersea Square, London, SW11 3RA
","AMEX, Mastercard, Visa",False
109,154,"
Belgo Centraal
","Belgian, European",Casual Dining,+44 20 7813 2233,http://www.belgo.com/restaurant/centraal/,"
50 Earlham Street, London, WC2H 9LA
","AMEX, Diners Club, Mastercard, Visa",False
110,156,"
Blues Kitchen Brixton - Drinks Tables
","American, Burgers, Barbecue",Casual Dining,+44 20 7274 0591,https://theblueskitchen.com/brixton/listings/,"
40 Acre Lane, London, SW2 5SP
","Mastercard, Visa",True
111,159,"
The One Tun
",Pan-Asian,Casual Dining,+44 20 7405 1521,http://www.onetun.co.uk/,"
125/6 Saffron Hill, London, EC1N 8QS
","AMEX, Mastercard, Visa",True
112,160,"
Suchard Thai Restaurant
",Thaï,Casual Dining,+44 20 7357 6381,http://www.suchardthai.co.uk/,"
102 Tooley Street London Bridge, London, SE1 2TH
","Mastercard, Visa",True
113,165,"
Foxlow Balham
","British, International",Casual Dining,+44 20 7680 2700,http://www.foxlow.co.uk/,"
15-19 Bedford Hill, London, SW12 9EX
","AMEX, Mastercard, Visa",True
114,166,"
Cochin - Finchley Central
",Indian,Casual Dining,+44 20 8346 1685,http://www.cochinrestaurant.co.uk/,"
54 Ballards Lane, London, N3 2BU
","Mastercard, Visa",False
115,167,"
Fiddie's
",Italian,Casual Dining,+44 20 7586 5050,http://www.fiddiesitaliankitchen.com/,"
13 New College Parade, London, NW3 5EP
","Mastercard, Visa",True
116,168,"
Oaka at The Mansion House
",Pan-Asian,Casual Dining,+44 20 7582 5599,http://www.oakalondon.com/about,"
48 Kennington Park Road, London, SW11 4RS
","AMEX, Mastercard, Visa",True
117,170,"
Kintan
","Japanese, Barbecue, Japanese (Yakiniku)",Casual Dining,+44 20 7242 8076,http://kintan.uk/,"
34 High Holborn, London, WC1V 6AE
","AMEX, Mastercard, Visa",True
118,171,"
Lisa's Italian
",Italian,Casual Dining,+44 20 8964 8293,http://www.lisasportobello.com/,"
305 Portobello Road, London, W10 5TD
","AMEX, Mastercard, Visa",True
119,172,"
The Royal Oak
","Gastro Pub, British",Casual Dining,+44 20 8527 2022,http://royaloakhighamspark.co.uk/,"
320 Hale End Road, London, IG8 9LN
","Mastercard, Visa",False
120,173,"
Gunpowder
",Indian,Casual Dining,+44 20 7426 0542,http://www.gunpowderlondon.com/,"
11 White's Row, London, E1 7NF
","Mastercard, Visa",True
121,174,"
Itto Noodle Bar
",Chinese,Casual Dining,+44 20 7275 8827,http://itto.co.uk/,"
226 Stoke Newington High Street, London, N16 7HU
","Mastercard, Visa",True
122,175,"
Arabesque Restaurant London
",Mediterranean,Casual Dining,+44 20 7041 9793,http://arabesquerestaurant.co.uk/,"
23 Winchester Rd, London, NW3 3NR
","Diners Club, Discover, Mastercard, Visa",False
123,176,"
Shack-Fuyu
",Japanese,Casual Dining,+44 20 3019 3492,https://bonedaddies.com/shack-fuyu-menu/,"
14a Old Compton Street, London, W1D 4TJ
","AMEX, Mastercard, Visa",True
124,178,"
Mesi's Kitchen
",Ethiopian,Casual Dining,+44 7522 425852,http://www.mesiskitchen.com/,"
128 Holloway Road, London, N7 8JE
","Mastercard, Visa",True
125,179,"
Union Viet
","Vietnamese, Asian",Casual Dining,+44 20 3302 8828,http://www.unionviet.com/,"
120 Union St, London, SE1 0FR
","AMEX, Carte Blanche, Diners Club, Discover, JCB, Mastercard, Visa",True
126,182,"
Hobson's Fish and Chips Restaurant
","British, Seafood",Casual Dining,+44 20 7229 4161,http://www.hobsonsfishandchips.com/,"
9 Porchestor Road, London, W2 5DP
","Mastercard, Visa",True
127,183,"
Le Bar
","French, Bar / Lounge / Bottle Service",Casual Dining,+44 20 7600 7561,http://lebarlondon.co.uk/,"
59 West Smithfield, London, EC1A 9DS
","AMEX, Mastercard, Visa",True
128,185,"
Beef & Brew, Kentish Town
",Steak,Casual Dining,+44 20 7998 1511,http://www.beef-and-brew.co.uk/,"
323 Kentish Town Road, London, NW5 2TJ
","Mastercard, Visa",True
129,187,"
Rudie's
","Jamaican, Caribbean",Casual Dining,+44 20 7249 9930,http://www.rudieslondon.com/,"
50 Stoke Newington Road, London, N16 7XB
","AMEX, Mastercard, Visa",True
130,188,"
RustiKo Soho
",Italian,Casual Dining,+44 20 7734 6361,http://www.rustikosoho.com/,"
37 Old Compton Street, London, W1D 5JY
","AMEX, Mastercard, Visa",True
131,189,"
Bellillo UK
","Italian, Pizzeria, Farm-to-table",Casual Dining,+44 20 7381 1411,https://bellillo.co.uk/london/,"
255 Munster Road, London, SW6 6BW
","AMEX, Diners Club, Discover, Mastercard, Visa",True
132,191,"
Salut! - Islington
","Modern European, French, British",Casual Dining,+44 20 3441 8808,http://www.salut-london.co.uk/,"
412 Essex Road, London, N1 3PJ
","Mastercard, Visa",True
133,192,"
The Lighterman
","British, European",Casual Dining,+44 20 3846 3400,http://www.thelighterman.co.uk/,"
3 Granary Square, London, N1C 4BH
","AMEX, Mastercard, Visa",True
