,Unnamed: 0,Name,Cusines,Dining_style,Phone number,Website,Payment Options,Address,City,PostCode,website_status,Online_order,online_order
20,25,"
Lyle's Restaurant
",British,Casual Dining,+44 20 3011 5911,http://lyleslondon.com/,"AMEX, Mastercard, Visa","
56 Shoreditch High Street", London," E1 6JJ
",True,False,False
21,26,"
Social 24
",Contemporary British,Casual Dining,+44 20 7877 7703,http://www.citysociallondon.com/,"AMEX, Mastercard, Visa","
25 Old Broad Street Tower 42", London," EC2N 1HT
",True,False,False
22,28,"
Super Star
",Chinese,Casual Dining,+44 20 7287 3822,http://www.superstarrestaurant.com/,"Mastercard, Visa","
17 Lisle street", London," WC2H 7BE
",True,False,False
23,30,"
The India Gate
","Indian, Nepalese",Casual Dining,+44 20 8699 9345,http://www.theindiagaterestaurant.co.uk/,"Mastercard, Visa","
47 London Rd Forrest Hill", London," SE23 3TY
",True,False,False
24,31,"
BOMBAY CHOW
","Chinese, Fusion / Eclectic",Casual Dining,+44 20 8741 0292,http://www.bombaychow.co.uk/,"Mastercard, Visa","
220 King Street", London," W6 0RA
",True,False,False
25,32,"
Ham Yard Bar and Restaurant
","Modern European, British",Casual Dining,+44 20 3642 1007,http://www.hamyardhotel.com/,"AMEX, Carte Blanche, Diners Club, Discover, JCB, Mastercard, Visa","
One Ham Yard", London," W1D 7DT
",True,False,False
26,33,"
Alex Dilling at Hotel Café Royal
","French, Contemporary European, Modern European",Casual Dining,+44 20 7459 4022,https://alexdilling.com/,"AMEX, Mastercard, Visa","
68 Regent St.", London," W1B 4DY
",True,False,False
27,34,"
The Blues Kitchen - Shoreditch
",American,Casual Dining,+44 20 7729 7216,http://www.theblueskitchen.com/,"Mastercard, Visa","
The Blues Kitchen 134 Curtain Road", London," EC2A 3AR
",True,False,False
29,37,"
La Pizzeria Italiana
","Italian, Pizzeria, Seafood",Casual Dining,+44 20 8461 4606,http://www.lapizzaitalia.com/,"AMEX, JCB, Mastercard, Visa","
3", Eros House Brownhill Rd, London,True,False,False
30,38,"
Pix - Covent Garden
",Tapas / Small Plates,Casual Dining,+44 20 7836 9779,http://www.pix-bar.com/,"AMEX, Mastercard, Visa","
63 Neal Street", London," WC2H 9PJ
",True,False,False
31,39,"
The City Barge
","Gastro Pub, Seafood",Casual Dining,+44 20 8994 2148,http://www.citybargechiswick.com/,"AMEX, Mastercard, Visa","
27 Strand on the Green", London," W4 3PH
",True,False,False
32,41,"
Sweet Thursday
","Pizzeria, Italian",Casual Dining,+44 20 7226 1727,http://www.sweetthursday.co.uk/,"Cash not accepted, Mastercard, Visa","
95 Southgate Road", London," N1 3JS
",True,False,False
33,42,"
The Scolt Head
",British,Casual Dining,+44 20 7254 3965,http://www.thescolthead.co.uk/contact.htm,"Mastercard, Visa","
107A Culford Road", London," N1 4HT
",True,False,False
34,44,"
The Wine Place - South Kensington
","Japanese, Asian, Pan-Asian",Casual Dining,+44 20 7730 7043,http://www.italianwines.com/,"AMEX, Mastercard, Visa","
72 Old Brompton Road", London," SW7 3LQ
",True,False,False
35,45,"
Corner Room
","Contemporary British, European",Casual Dining,+44 20 8709 4525,https://www.townhallhotel.com/food-and-drink/corner_room,"AMEX, Mastercard, Visa","
Town Hall Hotel Patriot Square", London," E2 9NF
",True,False,False
36,46,"
Bife
","Steakhouse, Bar / Lounge / Bottle Service, Argentinian",Casual Dining,+44 20 7650 7948,http://www.bife.co.uk/,"AMEX, Mastercard, Visa","
40-42 Middlesex Street", London," E1 7EX
",True,False,False
37,48,"
Omnino Leadenhall
",Steak,Casual Dining,+44 20 3538 3530,http://www.omninorestaurants.com/,"AMEX, Mastercard, Visa","
78-79 Leadenhall Street", London," EC3A 3DH
",True,False,False
38,49,"
Boot and Flogger
","British, Winery, Wine Bar",Casual Dining,+44 20 7407 1184,http://www.davy.co.uk/bootandflogger,"AMEX, Mastercard, Visa","
10-20 Redcross Way", London," SE1 1TA
",True,False,False
39,50,"
The Factory House
","British, Breakfast, Steakhouse",Casual Dining,+44 20 7929 4590,http://www.davy.co.uk/wine-bar/factory-house/,"AMEX, Mastercard, Visa","
No. 10 Lime Street", London," EC3M 7AA
",True,False,False
40,51,"
Davy's at Plantation Place
","British, Wine Bar, Winery",Casual Dining,+44 20 7621 9878,http://www.davy.co.uk/plantationplace,"AMEX, Mastercard, Visa","
Unit 8", London," EC3R 7BD
",True,False,False
41,52,"
The Bunghole Cellars
","British, Wine Bar, Winery",Casual Dining,+44 20 7831 8365,https://www.davy.co.uk/bunghole-cellars/,"AMEX, Mastercard, Visa","
57 High Holborn", London," WC1V 6DT
",True,False,False
42,53,"
Sorella
",Italian,Casual Dining,+44 20 7720 4662,http://www.sorellarestaurant.co.uk/,"Mastercard, Visa","
148 Clapham Manor Street", London," SW4 6BX
",True,False,False
43,56,"
Blades Restaurant
",Italian,Casual Dining,+44 20 8789 0869,http://www.bladesrestaurant.co.uk/,"Mastercard, Visa","
94 Lower Richmond Road Putney", London," SW15 1LL
",True,False,False
44,58,"
The Duke
","British, Gastro Pub",Casual Dining,+44 20 8989 0014,http://thedukewanstead.com/,"AMEX, Mastercard, Visa","
79 Nightingale Lane", London," E11 2EY
",True,False,False
45,59,"
Twist
","Tapas / Small Plates, Mediterranean, Steak",Casual Dining,+44 20 7723 3377,http://www.twistkitchen.co.uk/,"AMEX, Mastercard, Visa","
42 Crawford Street", London," W1H 1JW
",True,False,False
46,60,"
Pix Confessional Cocktail Club
",Tapas / Small Plates,Casual Dining,+44 20 7727 6978,http://www.pix-bar.com/,"Mastercard, Visa","
185 Portobello Road", London," W11 2ED
",True,False,False
47,61,"
The Rajdoot
","Indian, Contemporary Indian, Southeast Asian",Casual Dining,+44 20 7486 2055,http://therajdootindian.com/,"AMEX, Mastercard, Visa","
49 Paddington St", London," W1U 4HW
",True,False,False
49,64,"
Pachamama
","Peruvian, Contemporary Latin American, Tapas / Small Plates",Casual Dining,+44 20 7935 9393,http://www.pachamamalondon.com/,"AMEX, Diners Club, JCB, Mastercard, Visa","
18 Thayer Street", London," W1U 3JY
",True,False,False
50,66,"
Senor Ceviche - Carnaby
","Peruvian, South American, Tapas / Small Plates",Casual Dining,+44 20 7842 8540,http://www.senor-ceviche.com/,"AMEX, Mastercard, Visa","
Kingly Court", London," W1B 5PW
",True,False,False
51,69,"
The Duke Of Cambridge
","British, Organic",Casual Dining,+44 20 7359 3066,http://www.dukeorganic.co.uk/,"AMEX, Mastercard, Visa","
30 St Peter's Street", London," N1 8JT
",True,False,False
52,72,"
Jinjuu Soho
","Korean, Asian, Fusion / Eclectic",Casual Dining,+44 20 8181 8887,http://www.jinjuu.com/,"AMEX, Mastercard, Visa","
15 Kingly Street", London," W1B 5PS
",True,False,False
53,73,"
Tredwells
","British, Contemporary British, Vegetarian / Vegan",Casual Dining,+44 20 3764 0840,http://www.tredwells.com/,"AMEX, Mastercard, Visa","
4A Upper St Martins Lane", London," WC2H 9NY
",True,False,False
54,75,"
Tapa Tapa
","Tapas / Small Plates, Spanish, European",Casual Dining,+44 20 7473 4874,http://www.tapatapa.com/,"AMEX, Mastercard, Visa","
Unit R4", Warehouse K, Western Gateway,True,False,False
55,76,"
Yida Sushi Restaurant
",Japanese,Casual Dining,+44 20 8617 9949,http://www.yidasushi.uk/,"Mastercard, Visa","
246 St Paul's Rd", London," N1 2LJ
",True,False,False
56,77,"
Yama Momo
","Japanese, Asian",Casual Dining,+44 20 8299 1007,http://www.yamamomo.co.uk/,"AMEX, Mastercard, Visa","
72 Lordship Lane", London," SE22 8HF
",True,False,False
57,78,"
Bugis Street Brasserie at Millennium Gloucester Hotel
","Southeast Asian, Chinese",Casual Dining,+44 20 7331 6211,http://www.millenniumhotels.co.uk/millenniumglouce,"AMEX, Diners Club, JCB, Mastercard, Visa","
Millennium Gloucester Hotel Courtfield Road", London," SW7 4LH
",True,False,False
59,80,"
Pino
","Italian, Wine Bar, Tapas / Small Plates",Casual Dining,+44 20 7602 6777,http://www.pinobar.co.uk/,"AMEX, Mastercard, Visa","
267 Kensington High Street", London," W8 6NA
",True,False,False
60,81,"
Shampan Welling
","Indian, Halal",Casual Dining,+44 20 8304 9569,http://www.shampangroup.co.uk/,"AMEX, Mastercard, Visa","
8 Falconwood Parade", London," DA16 2PL
",True,False,False
61,82,"
Hixter Bankside Restaurant & Bar
","British, Steak, Asian",Casual Dining,+44 20 7921 9508,http://www.hixterbankside.co.uk/,"AMEX, Mastercard, Visa","
16 Great Guildford Street", London," SE1 0HS
",True,False,False
62,83,"
Cepages
","French, Tapas / Small Plates, Bistro",Casual Dining,+44 20 3602 8890,http://cepages.co.uk/,"AMEX, Mastercard, Visa","
69 Westbourne Park Road", London," W2 5QH
",True,False,False
63,86,"
Laxeiro
","Spanish, European, Vegetarian",Casual Dining,+44 20 7729 1147,http://www.laxeiro.co.uk/,"Mastercard, Visa","
93 Columbia Road", London," E2 7RG
",True,False,False
64,87,"
Zelman Meats
","Meat, Steak, Barbecue",Casual Dining,+44 20 7437 0566,http://www.zelmanmeats.com/,"AMEX, Mastercard, Visa","
2 St Anne""s Court", London," W1F 0AZ
",True,False,False
65,88,"
The Arber Garden
","British, European",Casual Dining,+44 20 3761 0200,https://www.thearbergarden.co.uk/,"AMEX, Mastercard, Visa","
1 Pearson Square", London," W1W 7EY
",True,False,False
66,89,"
Li Veli Winery & Bistro
","Italian, Mediterranean, Bar / Lounge / Bottle Service",Casual Dining,+44 20 7240 8163,http://www.liveli.co.uk/,"AMEX, Mastercard, Visa","
69 Long Acre", London," WC2E 9JS
",True,False,False
68,91,"
The Crown & Anchor
","British, Beer Garden, Bar / Lounge / Bottle Service",Casual Dining,+44 20 7737 0060,http://www.crownandanchorbrixton.co.uk/,"AMEX, Mastercard, Visa","
246 Brixton Road", London," SW9 6AQ
",True,False,False
69,95,"
Bang Bang Vietnamese Canteen
","Vietnamese, Asian",Casual Dining,+44 20 7388 3629,http://www.bangbangcanteen.co.uk/,"AMEX, Mastercard, Visa","
53 Warren Street", London," W1T 5NL
",True,False,False
70,98,"
Nam Long Le Shaker
","Pan-Asian, Asian, Vietnamese",Casual Dining,+44 20 7373 1926,http://www.namlong.co.uk/,"AMEX, Mastercard, Visa","
159 Old Brompton Road", London," SW5 0LJ
",True,False,False
71,99,"
Panshi Hinchley Wood
",Indian,Casual Dining,+44 20 8398 8585,http://www.thepanshi.co.uk/,"Mastercard, Visa","
7 Station Approach", London," KT10 0SP
",True,False,False
72,100,"
The Botanist Broadgate Circle
",British,Casual Dining,+44 20 3058 9888,http://www.thebotanistbroadgate.com/,"AMEX, Mastercard, Visa","
Unit T5", London," EC2M 2QS
",True,False,False
73,101,"
Café Murano – Covent Garden Dining Counter
","Italian, Italian",Casual Dining,+44 20 7240 3654,http://www.cafemurano.co.uk/,"AMEX, Mastercard, Visa","
36 Tavistock Street", London," WC2E 7PB
",True,False,False
74,103,"
Camino Bankside
",Spanish,Casual Dining,+44 20 3617 3169,http://www.camino.uk.com/,"AMEX, Mastercard, Visa","
5 Canvey Street", London," SE1 9
",True,False,False
76,105,"
Wright Brothers - South Kensington
","Seafood, Fish",Casual Dining,+44 20 7581 0131,http://www.thewrightbrothers.co.uk/,"AMEX, Mastercard, Visa","
56 Old Brompton Road", London," SW7 3DY
",True,False,False
77,106,"
Hungry Donkey
","Greek, Vegetarian, Mediterranean",Casual Dining,+44 20 7392 9649,http://www.hungrydonkey.co.uk/,"AMEX, Mastercard, Visa","
56 Wentworth street", London," E1 7AL
",True,False,False
79,109,"
Yauatcha City (Sharing Tables)
",Chinese,Casual Dining,+44 20 3817 9888,http://www.yauatcha.com/,"AMEX, Mastercard, Visa","
Broadgate Circle", London," EC2M 2QS
",True,False,False
80,110,"
Yauatcha City
",Chinese,Casual Dining,+44 20 3817 9888,http://www.yauatcha.com/,"AMEX, Mastercard, Visa","
Broadgate Circle", London," EC2M 2QS
",True,False,False
82,112,"
LOBOS Meat & Tapas - Borough
",Spanish,Casual Dining,+44 20 7407 5361,http://www.lobostapas.co.uk/,"AMEX, Mastercard, Visa","
14 Borough High Street", London," SE1 9QG
",True,False,False
83,116,"
Black Roe
","Asian, Global, International, Sushi",Casual Dining,+44 20 3794 8448,http://www.blackroe.com/,"AMEX, Mastercard, Visa","
4 Mill Street", London," W1S 2AX
",True,False,False
84,118,"
Theo Simple Italian Afternoon Tea
","Italian, Afternoon Tea",Casual Dining,+44 20 7370 9130,http://www.theossimpleitalian.co.uk/italian-afternoon-tea,"Mastercard, Visa","
34-44 Barkston Gardens", London," SW5 0EW
",True,False,False
86,121,"
Afternoon Tea at Flemings Mayfair
","Afternoon Tea, European",Casual Dining,+44 20 7016 5601,https://www.flemings-mayfair.co.uk/fine-dining-london/the-drawing-room,"AMEX, Diners Club, Discover, JCB, Mastercard, Visa","
7-12 Half Moon St", London," W1J 7BH
",True,False,False
87,122,"
Pidgin
","Modern European, British, International",Casual Dining,+44 20 7254 8311,http://www.pidginlondon.com/,"AMEX, Mastercard, Visa","
52 Wilton Way", London," E8 1BG
",True,False,False
88,124,"
The Italian Greyhound
","Italian, British",Casual Dining,+44 20 3826 7940,http://theitaliangreyhound.co.uk/,"AMEX, Mastercard, Visa","
62-64 Seymour Street", London," W1H 5BN
",True,False,False
89,125,"
ZIMA Russian Restaurant
","Russian, Eastern European, Contemporary European",Casual Dining,+44 20 7494 9111,http://zima.restaurant/,"AMEX, Mastercard, Visa","
45 Frith Street", London," W1D 4SD
",True,False,False
91,130,"
Dan&Angel Restaurant
","Pizza Bar, Mediterranean, Vegetarian / Vegan",Casual Dining,+44 20 7738 1222,http://www.dnarestaurant.uk/,"AMEX, Mastercard, Visa","
143 St John Hill", London," SW11 1TQ
",True,False,False
92,131,"
Arlo's Balham
","Steak, Vegetarian, British",Casual Dining,+44 20 3019 6590,http://www.arlos.co.uk/,"Mastercard, Visa","
1 Ramsden Road", London," SW12 8QX
",True,False,False
93,133,"
TOZI Victoria
",Italian,Casual Dining,+44 20 7769 9771,http://www.tozirestaurant.co.uk/home,"AMEX, Diners Club, Discover, JCB, Mastercard, Visa","
8 Gillingham Street", London," SW1V 1HJ
",True,False,False
94,135,"
Delicious by Franco
",Italian,Casual Dining,+44 20 7482 3460,http://www.deliciousbyfranco.co.uk/,"Mastercard, Visa","
320 Kentish Town Road", London," NW5 2HT
",True,False,False
95,136,"
Orford Road Tapas
","Spanish, Latin / Spanish, Mediterranean",Casual Dining,+44 20 8503 6542,http://orfordtapas.co.uk/,"AMEX, Mastercard, Visa","
32 Orford Road", London," E17 9NJ
",True,False,False
96,137,"
Iberica Victoria
","Spanish, Tapas / Small Plates, Mediterranean",Casual Dining,+44 20 3026 5118,http://www.ibericarestaurants.com/,"AMEX, Mastercard, Visa","
5-6 Zig Zag Building", London," SW1E 6SQ
",True,False,False
97,138,"
The Market Thai
","Spanish, Tapas / Small Plates, Mediterranean",Casual Dining,+44 20 3026 5118,http://www.ibericarestaurants.com/,"Mastercard, Visa","
240 Portobello Rd", London," W11 1LL
",True,False,False
98,139,"
SUSHINOEN
",Japanese,Casual Dining,+44 20 3645 6734,http://www.sushinoen.com/,"AMEX, JCB, Mastercard, Visa","
2 White Church Ln", London," E1 7QR
",True,False,False
100,141,"
Social Wine and Tapas
","Tapas / Small Plates, British",Casual Dining,+44 20 7993 3257,http://www.socialwineandtapas.com/,"AMEX, Mastercard, Visa","
39 James Street", London," W1U 1DL
",True,False,False
101,142,"
El Inca Plebeyo
","Latin American, South American, Fusion / Eclectic",Casual Dining,+44 20 7704 9393,http://www.elincaplebeyo.co.uk/,"Mastercard, Pay with OpenTable, Visa","
162 Essex Road", London," N1 8LY
",True,False,False
103,145,"
Bnova
",Indian,Casual Dining,+44 20 8905 6966,http://bnova.co.uk/,"Mastercard, Visa","
865 Honeypot Ln", London," HA7 1AR
",True,False,False
104,147,"
Cacio & Pepe
","Italian, Mediterranean, European",Casual Dining,+44 20 7630 7588,http://www.cacioepepe.co.uk/,"AMEX, Diners Club, Mastercard, Visa","
46 Churton Street", London," SW1V 2LP
",True,False,False
105,149,"
Cafe Amaranth
","Thaï, Indonesian / Malaysian, Asian",Casual Dining,+44 20 8874 9036,http://www.cafeamaranth.co.uk/,"Mastercard, Visa","
346-348 Garratt Lane", London," SW18 4ES
",True,False,False
106,151,"
Buenos Aires Cafe - Greenwich
","Argentinian, Steak",Casual Dining,+44 20 8858 9172,http://buenosairescafe.co.uk/,"Mastercard, Visa","
15 Nelson Road Greenwich Peninsula", London," SE10 9JB
",True,False,False
107,152,"
Buenos Aires Cafe - Blackheath
","Argentinian, Steak, Pizzeria",Casual Dining,+44 20 8318 5333,http://www.buenosairescafe.co.uk/,"Mastercard, Visa","
17 Royal Parade", London," SE3 0TL
",True,False,False
110,156,"
Blues Kitchen Brixton - Drinks Tables
","American, Burgers, Barbecue",Casual Dining,+44 20 7274 0591,https://theblueskitchen.com/brixton/listings/,"Mastercard, Visa","
40 Acre Lane", London," SW2 5SP
",True,False,False
111,159,"
The One Tun
",Pan-Asian,Casual Dining,+44 20 7405 1521,http://www.onetun.co.uk/,"AMEX, Mastercard, Visa","
125/6 Saffron Hill", London," EC1N 8QS
",True,False,False
112,160,"
Suchard Thai Restaurant
",Thaï,Casual Dining,+44 20 7357 6381,http://www.suchardthai.co.uk/,"Mastercard, Visa","
102 Tooley Street London Bridge", London," SE1 2TH
",True,False,False
113,165,"
Foxlow Balham
","British, International",Casual Dining,+44 20 7680 2700,http://www.foxlow.co.uk/,"AMEX, Mastercard, Visa","
15-19 Bedford Hill", London," SW12 9EX
",True,False,False
115,167,"
Fiddie's
",Italian,Casual Dining,+44 20 7586 5050,http://www.fiddiesitaliankitchen.com/,"Mastercard, Visa","
13 New College Parade", London," NW3 5EP
",True,False,False
116,168,"
Oaka at The Mansion House
",Pan-Asian,Casual Dining,+44 20 7582 5599,http://www.oakalondon.com/about,"AMEX, Mastercard, Visa","
48 Kennington Park Road", London," SW11 4RS
",True,False,False
117,170,"
Kintan
","Japanese, Barbecue, Japanese (Yakiniku)",Casual Dining,+44 20 7242 8076,http://kintan.uk/,"AMEX, Mastercard, Visa","
34 High Holborn", London," WC1V 6AE
",True,False,False
118,171,"
Lisa's Italian
",Italian,Casual Dining,+44 20 8964 8293,http://www.lisasportobello.com/,"AMEX, Mastercard, Visa","
305 Portobello Road", London," W10 5TD
",True,False,False
120,173,"
Gunpowder
",Indian,Casual Dining,+44 20 7426 0542,http://www.gunpowderlondon.com/,"Mastercard, Visa","
11 White's Row", London," E1 7NF
",True,False,False
124,178,"
Mesi's Kitchen
",Ethiopian,Casual Dining,+44 7522 425852,http://www.mesiskitchen.com/,"Mastercard, Visa","
128 Holloway Road", London," N7 8JE
",True,False,False
125,179,"
Union Viet
","Vietnamese, Asian",Casual Dining,+44 20 3302 8828,http://www.unionviet.com/,"AMEX, Carte Blanche, Diners Club, Discover, JCB, Mastercard, Visa","
120 Union St", London," SE1 0FR
",True,False,False
126,182,"
Hobson's Fish and Chips Restaurant
","British, Seafood",Casual Dining,+44 20 7229 4161,http://www.hobsonsfishandchips.com/,"Mastercard, Visa","
9 Porchestor Road", London," W2 5DP
",True,False,False
127,183,"
Le Bar
","French, Bar / Lounge / Bottle Service",Casual Dining,+44 20 7600 7561,http://lebarlondon.co.uk/,"AMEX, Mastercard, Visa","
59 West Smithfield", London," EC1A 9DS
",True,False,False
128,185,"
Beef & Brew, Kentish Town
",Steak,Casual Dining,+44 20 7998 1511,http://www.beef-and-brew.co.uk/,"Mastercard, Visa","
323 Kentish Town Road", London," NW5 2TJ
",True,False,False
129,187,"
Rudie's
","Jamaican, Caribbean",Casual Dining,+44 20 7249 9930,http://www.rudieslondon.com/,"AMEX, Mastercard, Visa","
50 Stoke Newington Road", London," N16 7XB
",True,False,False
130,188,"
RustiKo Soho
",Italian,Casual Dining,+44 20 7734 6361,http://www.rustikosoho.com/,"AMEX, Mastercard, Visa","
37 Old Compton Street", London," W1D 5JY
",True,False,False
131,189,"
Bellillo UK
","Italian, Pizzeria, Farm-to-table",Casual Dining,+44 20 7381 1411,https://bellillo.co.uk/london/,"AMEX, Diners Club, Discover, Mastercard, Visa","
255 Munster Road", London," SW6 6BW
",True,False,False
132,191,"
Salut! - Islington
","Modern European, French, British",Casual Dining,+44 20 3441 8808,http://www.salut-london.co.uk/,"Mastercard, Visa","
412 Essex Road", London," N1 3PJ
",True,False,False
133,192,"
The Lighterman
","British, European",Casual Dining,+44 20 3846 3400,http://www.thelighterman.co.uk/,"AMEX, Mastercard, Visa","
3 Granary Square", London," N1C 4BH
",True,False,False
134,193,"
Obicà Mozzarella Bar - St Pauls
","Italian, Mediterranean, Pizzeria",Casual Dining,+44 20 3146 2261,http://www.obica.com/,"AMEX, Mastercard, Visa","
Unit 4", London," EC4M 7AX
",True,False,False
135,194,"
El Vino at Fleet Street
","Tapas / Small Plates, Wine Bar, Winery",Casual Dining,+44 20 7353 6786,https://www.davy.co.uk/wine-bar/el-vino-fleet-street/,"AMEX, Mastercard, Visa","
47 Fleet Street", London," EC4Y 1BJ
",True,False,False
136,198,"
Tarshish
","Turkish, Mediterranean",Casual Dining,+44 20 8881 6479,http://www.tarshish.co.uk/,"Mastercard, Visa","
16 - 20 High Road", London," N22 6BX
",True,False,False
137,199,"
Caffe Concerto Northumberland Avenue
","Cafe Dining, Italian",Casual Dining,+44 20 7494 6851,https://www.caffeconcerto.co.uk/restaurant/northumberland-avenue.html,"Mastercard, Visa","
4-5 Northumberland Ave", London," WC2N 5BW
",True,False,False
138,200,"
Angoletto
",Italian,Casual Dining,+44 20 7978 2231,http://www.angoletto.co.uk/,"Mastercard, Visa","
50 Battersea Park Road", London," SW11 4JP
",True,False,False
139,201,"
MK Bar and Grill
","Italian, Modern European",Casual Dining,+44 20 7589 1383,http://www.huxbrasserie.com/,"AMEX, Mastercard, Visa","
25-35 Gloucester Road", London," SW7 4PL
",True,False,False
140,203,"
MNKY HSE
",Latin American,Casual Dining,+44 20 3870 4880,http://www.mnky-hse.com/,"AMEX, Discover, JCB, Mastercard, Visa","
10 Dover St", London," W1S 4LQ
",True,False,False
141,204,"
Al Forno - Shepherd's Bush
",Latin American,Casual Dining,+44 20 3870 4880,http://www.mnky-hse.com/,"AMEX, Mastercard, Visa","
3 - 4 Romney Court", London," W12 8PY
",True,False,False
142,205,"
Band of Burgers
",Burgers,Casual Dining,+44 20 7387 3898,http://bandofburgers.co.uk/,"Mastercard, Visa","
23 Camden High Street", London," NW1 7JE
",True,False,False
143,206,"
The Westbury
","British, Bar / Lounge / Bottle Service, Beer Garden",Casual Dining,+44 20 8889 2059,http://www.westburyn22.com/,"Mastercard, Visa","
57 Westbury Avenue", London," N22 6SA
",True,False,False
144,208,"
Cafe Monico
",International,Casual Dining,+44 20 3727 6161,http://www.cafemonico.com/,"Mastercard, Visa","
39-45 Shaftesbury Avenue", London," W1D 6LA
",True,False,False
145,209,"
Steam Restaurant
","Chinese, Dim Sum",Casual Dining,+44 20 3490 2300,http://www.steamrestaurant.co.uk/,"AMEX, Mastercard, Visa","
177 King street", London," W6 9JT
",True,False,False
147,211,"
Luppolo
","Pizzeria, Italian",Casual Dining,+44 20 8530 8528,http://www.luppolopizza.com/,"AMEX, Cash not accepted, Mastercard, Visa","
36-38 High Street Wanstead", London," E11 2RJ
",True,False,False
148,212,"
Blacklock Soho
","Steak, Barbecue, British",Casual Dining,+44 20 3441 6996,http://theblacklock.com/soho/,"AMEX, Mastercard, Visa","
24 Great Windmill Street", London," W1D 7LG
",True,False,False
149,213,"
Sirous Steak and Persian Cuisine Restaurant
","Steakhouse, Grill, Vegetarian / Vegan",Casual Dining,+44 20 7435 8164,http://www.sirous.co.uk/,"AMEX, Mastercard, Visa","
268 West End Lane", London," NW6 1LJ
",True,False,False
150,214,"
Blandford Comptoir
","Mediterranean, French",Casual Dining,+44 20 7935 4626,http://www.blandford-comptoir.co.uk/,"AMEX, Mastercard, Visa","
1 Blandford Street", London," W1U 3DA
",True,False,False
151,216,"
Franks Canteen
","European, British, Contemporary European",Casual Dining,+44 20 7354 4830,http://www.frankscanteen.com/,"AMEX, Cash not accepted, Mastercard, Visa","
86 Highbury Park", London," N5 2XE
",True,False,False
154,222,"
som saa
",Thaï,Casual Dining,+44 20 7324 7790,http://www.somsaa.com/,"AMEX, Mastercard, Visa","
43A Commercial Street", London," E1 6BD
",True,False,False
